ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
1,วิทยาลัยบูรณาการศาสตร์,วท.บ. สาขาวิชาศาสตร์แห่งแผ่นดินเพื่อการพัฒนาที่ยั่งยืน,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า  
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,1,A,10020116210103A,https://admission.ku.ac.th/majors/project/4/
2,คณะเกษตร,วท.บ. สาขาวิชาเคมีการเกษตร,2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,2,A,10020101500203A,https://admission.ku.ac.th/majors/project/4/
3,คณะเกษตร,วท.บ. สาขาวิชาวิทยาศาสตร์เกษตร,2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,2,A,10020101500204A,https://admission.ku.ac.th/majors/project/4/
4,คณะประมง,วท.บ. สาขาวิชาประมง,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,3,A,10020102500601A,https://admission.ku.ac.th/majors/project/4/
5,คณะวนศาสตร์,วท.บ. สาขาวิชาวนศาสตร์,2,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,4,A,10020103501001A,https://admission.ku.ac.th/majors/project/4/
6,คณะวิทยาศาสตร์,วท.บ. สาขาวิชาชีวเคมี,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ  ไม่ต่ำกว่า 9.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,5,A,10020104210601A,https://admission.ku.ac.th/majors/project/4/
7,คณะวิทยาศาสตร์,วท.บ. สาขาวิชาสถิติ,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ  ไม่ต่ำกว่า 9.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,5,A,10020104213301A,https://admission.ku.ac.th/majors/project/4/
8,คณะวิทยาศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ  ไม่ต่ำกว่า 9.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67",1. การสอบสัมภาษณ์,5,A,10020104220201A,https://admission.ku.ac.th/majors/project/4/
9,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ  ไม่ต่ำกว่า 9.00 หน่วยกิต",1. การสอบสัมภาษณ์,6,A,10020105300501A,https://admission.ku.ac.th/majors/project/4/
10,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี,1,,"1. กำลังศึกษาหรือสำเร็จการศึกษาชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 
2. มีประวัติผลงาน และความสามารถทางกีฬาดีเด่นในระดับใดระดับหนึ่ง ดังต่อไปนี้
2.1 เป็นนักกีฬาตัวแทนทีมชาติไทย
2.2 เป็นนักกีฬาตัวแทนเยาวชนทีมชาติไทย
2.3 เป็นนักกีฬาเข้าแข่งขันกีฬาแห่งชาติ (ระดับประเทศ ได้อันดับที่ 1 – 3) 
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
4. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
5. หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ  ไม่ต่ำกว่า 9.00 หน่วยกิต",1. การสอบสัมภาษณ์,6,A,10020105300601A,https://admission.ku.ac.th/majors/project/4/
