ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
1,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),5,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
3. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์ 1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน 1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา) 1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร 1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ 2.2) ความสามารถพิเศษ",,,,https://admission.ku.ac.th/majors/project/109/
2,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้ (นานาชาติ),2,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
3. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์ 1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน 1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา) 1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร 1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ 2.2) ความสามารถพิเศษ",,,,https://admission.ku.ac.th/majors/project/109/
3,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),5,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผู้สมัครโครงการฯ (สสวท.) ผ่านการอบรมค่ายโอลิมปิกวิชาการไม่ต่ำกว่าค่าย 3
3. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์ 1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน 1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา) 1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร 1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ 2.2) ความสามารถพิเศษ",,,,https://admission.ku.ac.th/majors/project/109/
4,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้ (นานาชาติ),2,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผู้สมัครโครงการฯ (สสวท.) ผ่านการอบรมค่ายโอลิมปิกวิชาการไม่ต่ำกว่าค่าย 3
3. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์ 1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน 1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา) 1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร 1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ 2.2) ความสามารถพิเศษ",,,,https://admission.ku.ac.th/majors/project/109/
5,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),5,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
6. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา)1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ2.2) ความสามารถพิเศษ
3. TGAT ความถนัดทั่วไป
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์",,,,https://admission.ku.ac.th/majors/project/109/
6,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),2,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
6. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา)1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ2.2) ความสามารถพิเศษ
3. TGAT ความถนัดทั่วไป
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์",,,,https://admission.ku.ac.th/majors/project/109/
7,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),3,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
6. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา)1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ2.2) ความสามารถพิเศษ
3. TGAT ความถนัดทั่วไป
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์",,,,https://admission.ku.ac.th/majors/project/109/
8,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),2,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
6. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา)1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ2.2) ความสามารถพิเศษ
3. TGAT ความถนัดทั่วไป
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์",,,,https://admission.ku.ac.th/majors/project/109/
9,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),2,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
6. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา)1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ2.2) ความสามารถพิเศษ
3. TGAT ความถนัดทั่วไป
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์",,,,https://admission.ku.ac.th/majors/project/109/
10,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ),2,,"1. เป็นผู้ที่กำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า 1.1) หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ ไม่ต่ำกว่า 22.00 หน่วยกิต (6 ภาคเรียน) 1.2) หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ ไม่ต่ำกว่า 12.00 หน่วยกิต (6 ภาคเรียน) 1.3) หน่วยกิตกลุ่มสาระการเรียนรู้ภาษาต่างประเทศ ไม่ต่ำกว่า 9.00 หน่วยกิต (6 ภาคเรียน)
2. ผลการเรียนเฉลี่ยสะสม (GPAX) 5 ภาคเรียน ไม่ต่ำกว่า 3.00
3. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. ผู้สมัครในโครงการฯ (สอวน.) ต้องเป็นผู้ผ่านการอบรมค่ายโอลิมปิกวิชาการ ไม่ต่ำกว่าค่าย 1 จากศูนย์ สอวน. ทั่วประเทศ ในสาขาวิชาคณิตศาสตร์ คอมพิวเตอร์ เคมี ชีววิทยา หรือฟิสิกส์ อย่างน้อยสาขาใดสาขาหนึ่ง
6. แฟ้มสะสมประวัติผลงาน (Portfolio) ทางวิชาการหรือกิจกรรมทางวิชาการ","1. การสอบสัมภาษณ์1.1) บุคลิกภาพและเจตคติที่ดีต่อสาขาวิชาที่สมัครเรียน1.2) เชาว์ปัญญาและปฏิภาณไหวพริบ (ถาม-ตอบ แก้ปัญหา)1.3) ความรู้ความเข้าใจในสาขาวิชาที่สมัคร1.4) ศักยภาพในสาขาวิชาที่สมัคร
2. แฟ้มสะสมผลงาน (Portfolio)2.1) ผลงานทางวิชาการหรือกิจกรรมทางวิชาการ2.2) ความสามารถพิเศษ
3. TGAT ความถนัดทั่วไป
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์",,,,https://admission.ku.ac.th/majors/project/109/
