ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),4,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),1,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย ปกติ),2,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ),2,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ (ภาษาไทย ปกติ),3,,"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา บางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์ (ทั้งวิชาพื้นฐานและวิชาเพิ่มเติม) ไม่ต่ำกว่า 12.00 หน่วยกิต
4. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
5. ค่า T-Score วิชา TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 50.00 คะแนน
6. ค่า T-Score วิชา A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 50.00 คะแนน
7. ค่า T-Score วิชา A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 50.00 คะแนน","1. ผลการเรียนเฉลี่ยสะสม (GPAX) สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
5. TGAT ความถนัดทั่วไป สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/11/
