ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),6,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย ปกติ),2,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00
6. การสอบสัมภาษณ์",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),10,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),2,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ (ภาษาไทย ปกติ),3,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/16/
,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),5,,"1. เป็นนักเรียนที่ปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 สายสามัญ ของโรงเรียนที่ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ (รวม 30 จังหวัด)
2. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
3. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
4. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
6. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/16/
