สาขาวิชาที่ใช้เกณฑ์,จำนวนรับ,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์, ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม แต่ละวิชา ≥ B และเฉลี่ย 2 วิชา ≥ B+
2. ทั้งนี้ วิชา วิชาคอมพิวเตอร์และการโปรแกรม (01204111) ใช้สำหรับการคัดเลือกเท่านั้น ไม่สามารถเทียบกับรายวิชา คอมพิวเตอร์และการโปรแกรม (01204113) สำหรับวิศวกรรมคอมพิวเตอร์ ที่เป็นวิชาบังคับของหลักสูตรวิศวกรรมคอมพิวเตอร์ได้"
วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. วิชา คณิตศาสตร์ ≥ B
2. เลือก 1 วิชา จาก ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดของวิชานั้น ≥ C+"
วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. วิชา คณิตศาสตร์ ≥ B
2. เลือก 1 วิชา จาก ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดของวิชานั้น ≥ C+"
วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์, ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดแต่ละวิชา ≥ C+
2. ทั้งนี้ วิชาการเขียนแบบวิศวกรรม (01208111) ใช้สำหรับการคัดเลือกเท่านั้น ไม่สามารถเทียบกับรายวิชา Mechanical Engineering Drawing (01208112) ที่เป็นวิชาบังคับของหลักสูตรวิศวกรรมเครื่องกล และหลักสูตรวิศวกรรมไฟฟ้าเครื่องกลการผลิต ได้"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์, ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดแต่ละวิชา ≥ C+
2. ทั้งนี้ วิชาการเขียนแบบวิศวกรรม (01208111) ใช้สำหรับการคัดเลือกเท่านั้น ไม่สามารถเทียบกับรายวิชา Mechanical Engineering Drawing (01208112) ที่เป็นวิชาบังคับของหลักสูตรวิศวกรรมเครื่องกล และหลักสูตรวิศวกรรมไฟฟ้าเครื่องกลการผลิต ได้"
วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),10,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์, ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดแต่ละวิชา ≥ C+"
วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์, ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดแต่ละวิชา ≥ C+"
วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์, ฟิสิกส์, คอมพิวเตอร์และการโปรแกรม, การเขียนแบบวิศวกรรม โดยที่เกรดแต่ละวิชา ≥ C+"
วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. วิชา คณิตศาสตร์ ≥ B
2. วิชา ฟิสิกส์ ≥ B"
วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย ปกติ),5,1. เป็นนักเรียนชั้น ม.6 สายสามัญ หรือสายอาชีวะ ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์,"1. เลือก 2 วิชา จาก คณิตศาสตร์ ≥ C, เคมี ≥ C, ฟิสิกส์ ≥ C, คอมพิวเตอร์และการโปรแกรม ≥ C+, การเขียนแบบวิศวกรรม ≥ C+"
